Iteration,ACO_N20,GA_N20,A*_N20,ACO_N50,GA_N50,A*_N50
315,736.4,738.0,738,1709.75,1820.8,1922
316,736.4,738.0,738,1709.75,1820.8,1922
317,736.4,738.0,738,1709.75,1820.8,1922
318,736.4,738.0,738,1709.75,1820.8,1922
319,736.4,738.0,738,1709.75,1820.8,1922
320,736.4,738.0,738,1709.75,1820.8,1922
321,736.4,738.0,738,1709.75,1820.8,1922
322,736.4,738.0,738,1709.75,1820.8,1922
323,736.4,738.0,738,1709.75,1820.8,1922
324,736.4,738.0,738,1709.75,1820.8,1922
325,736.5,738.0,738,1709.75,1820.8,1922
326,736.5,738.0,738,1709.75,1820.8,1922
327,736.5,738.0,738,1709.75,1820.8,1922
328,736.5,738.0,738,1709.75,1823.65,1922
329,736.5,738.0,738,1711.4,1823.65,1922
330,736.5,738.0,738,1711.4,1823.65,1922
331,736.5,738.0,738,1711.4,1823.65,1922
332,736.5,738.0,738,1711.4,1823.65,1922
333,736.5,738.0,738,1711.4,1823.65,1922
334,736.5,738.0,738,1711.4,1823.65,1922
335,736.5,738.0,738,1711.4,1823.65,1922
336,736.5,738.0,738,1711.4,1823.65,1922
337,736.5,738.0,738,1711.4,1823.65,1922
338,736.5,738.0,738,1711.4,1823.65,1922
339,736.5,738.0,738,1711.4,1823.65,1922
340,736.5,738.0,738,1711.4,1823.65,1922
341,736.5,738.0,738,1711.4,1823.65,1922
342,736.5,738.0,738,1711.4,1823.65,1922
343,736.5,738.0,738,1711.4,1823.65,1922
344,736.5,738.0,738,1711.4,1823.65,1922
345,736.5,738.0,738,1711.4,1823.65,1922
346,736.5,738.0,738,1711.4,1824.35,1922
347,736.5,738.0,738,1711.4,1824.35,1922
348,736.5,738.0,738,1711.4,1824.35,1922
349,736.5,738.0,738,1711.4,1824.35,1922
350,736.5,738.0,738,1711.4,1824.35,1922
351,736.5,738.0,738,1711.4,1824.35,1922
352,736.5,738.0,738,1711.4,1824.35,1922
353,736.5,738.0,738,1711.4,1824.35,1922
354,736.5,738.0,738,1711.4,1824.35,1922
355,736.5,738.0,738,1711.4,1824.35,1922
356,736.5,738.0,738,1711.4,1824.35,1922
357,736.5,738.0,738,1711.4,1824.35,1922
358,736.5,738.0,738,1711.4,1824.35,1922
359,737.0,738.0,738,1711.4,1824.35,1922
360,737.0,738.0,738,1711.4,1824.35,1922
361,737.0,738.0,738,1711.4,1824.35,1922
362,737.0,738.0,738,1711.4,1824.35,1922
363,737.0,738.0,738,1711.4,1824.75,1922
364,737.0,738.0,738,1711.4,1824.75,1922
365,737.0,738.0,738,1711.4,1824.75,1922
366,737.0,738.0,738,1711.4,1824.75,1922
367,737.0,738.0,738,1711.4,1824.75,1922
368,737.0,738.0,738,1711.4,1824.75,1922
369,737.0,738.0,738,1711.4,1824.75,1922
370,737.0,738.0,738,1711.4,1824.75,1922
371,737.0,738.0,738,1711.4,1826.0,1922
372,737.0,738.0,738,1711.4,1826.0,1922
373,737.0,738.0,738,1711.4,1826.0,1922
374,737.0,738.0,738,1711.4,1826.0,1922
375,737.0,738.0,738,1711.6,1826.0,1922
376,737.0,738.0,738,1711.6,1826.0,1922
377,737.5,738.0,738,1713.75,1826.0,1922
378,737.5,738.0,738,1713.75,1827.05,1922
379,737.5,738.0,738,1713.75,1827.05,1922
380,737.5,738.0,738,1713.75,1827.05,1922
381,737.5,738.0,738,1713.75,1827.05,1922
382,737.5,738.0,738,1713.75,1827.05,1922
383,737.5,738.0,738,1713.75,1827.05,1922
384,737.5,738.0,738,1713.75,1827.05,1922
385,737.5,738.0,738,1713.75,1827.05,1922
386,737.5,738.0,738,1713.75,1827.05,1922
387,737.5,738.0,738,1713.75,1827.05,1922
388,737.5,738.0,738,1713.75,1827.05,1922
389,737.5,738.0,738,1713.75,1830.8,1922
390,737.5,738.0,738,1713.75,1830.8,1922
391,737.5,738.0,738,1713.75,1830.8,1922
392,737.5,738.0,738,1713.75,1830.8,1922
393,737.5,738.0,738,1713.75,1830.8,1922
394,737.5,738.0,738,1713.75,1830.8,1922
395,737.5,738.0,738,1713.75,1830.8,1922
396,737.5,738.0,738,1713.75,1831.55,1922
397,737.5,738.0,738,1713.75,1831.55,1922
398,737.5,738.0,738,1713.75,1831.55,1922
399,737.5,738.0,738,1713.75,1831.55,1922
400,737.5,738.0,738,1713.75,1831.55,1922
401,737.5,738.0,738,1713.75,1831.55,1922
402,737.5,738.0,738,1713.75,1831.55,1922
403,737.5,738.0,738,1713.75,1831.55,1922
404,737.5,738.0,738,1713.75,1831.55,1922
405,737.5,738.0,738,1713.75,1831.55,1922
406,737.5,738.0,738,1713.75,1831.55,1922
407,737.5,738.0,738,1713.75,1831.55,1922
408,737.5,738.0,738,1713.75,1831.55,1922
409,737.5,738.0,738,1713.75,1831.55,1922
410,737.5,738.0,738,1713.75,1831.55,1922
411,737.5,738.0,738,1713.75,1833.7,1922
412,737.5,738.0,738,1713.75,1834.65,1922
413,737.5,738.0,738,1713.75,1834.65,1922
414,737.5,738.0,738,1713.75,1834.65,1922
415,737.5,738.0,738,1713.75,1834.65,1922
416,737.5,738.0,738,1713.75,1834.65,1922
417,737.5,738.0,738,1713.75,1834.65,1922
418,737.5,738.0,738,1713.75,1834.65,1922
419,737.5,738.0,738,1713.75,1834.65,1922
420,737.5,738.0,738,1713.75,1834.65,1922
421,737.5,738.0,738,1713.75,1834.65,1922
422,737.5,738.0,738,1713.75,1834.65,1922
423,737.5,738.0,738,1713.75,1834.65,1922
